#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 01 00 13 999 99.0 99.0  1.65 12.50  8.69 287 9999.0 999.0  14.2 999.0 99.0 99.00
2010 01 01 00 43 999 99.0 99.0  1.58 12.50  8.67 280 9999.0 999.0  14.2 999.0 99.0 99.00
2010 01 01 01 13 999 99.0 99.0  1.55 12.50  8.93 290 9999.0 999.0  14.1 999.0 99.0 99.00
2010 01 01 01 43 999 99.0 99.0  1.62 11.76  9.04 283 9999.0 999.0  14.1 999.0 99.0 99.00
2010 01 01 02 13 999 99.0 99.0  1.57 12.50  8.63 300 9999.0 999.0  14.2 999.0 99.0 99.00
2010 01 01 02 43 999 99.0 99.0  1.49 13.33  8.36 273 9999.0 999.0  14.1 999.0 99.0 99.00
2010 01 01 03 13 999 99.0 99.0  1.77 11.76  8.92 284 9999.0 999.0  14.0 999.0 99.0 99.00
2010 01 01 03 43 999 99.0 99.0  1.80 12.50  8.83 291 9999.0 999.0  14.0 999.0 99.0 99.00
2010 01 01 04 13 999 99.0 99.0  1.80 11.76  8.63 291 9999.0 999.0  14.0 999.0 99.0 99.00
2010 01 01 04 43 999 99.0 99.0  1.87 12.50  8.76 296 9999.0 999.0  14.0 999.0 99.0 99.00
2010 01 01 05 13 999 99.0 99.0  1.62 12.50  8.32 280 9999.0 999.0  14.0 999.0 99.0 99.00
2010 01 01 05 43 999 99.0 99.0  1.82 12.50  8.75 286 9999.0 999.0  14.0 999.0 99.0 99.00
2010 01 01 06 13 999 99.0 99.0  1.76 12.50  8.65 284 9999.0 999.0  14.0 999.0 99.0 99.00
2010 01 01 06 43 999 99.0 99.0  1.96 11.11  9.01 293 9999.0 999.0  14.0 999.0 99.0 99.00
2010 01 01 07 13 999 99.0 99.0  1.90 11.76  8.63 297 9999.0 999.0  13.9 999.0 99.0 99.00
2010 01 01 07 43 999 99.0 99.0  1.79 12.50  8.55 296 9999.0 999.0  13.9 999.0 99.0 99.00
2010 01 01 08 13 999 99.0 99.0  1.69 11.76  8.25 294 9999.0 999.0  13.9 999.0 99.0 99.00
2010 01 01 08 43 999 99.0 99.0  1.70 11.76  8.26 286 9999.0 999.0  13.9 999.0 99.0 99.00
2010 01 01 09 13 999 99.0 99.0  1.92 11.76  8.66 284 9999.0 999.0  13.9 999.0 99.0 99.00
2010 01 01 09 43 999 99.0 99.0  1.71 11.11  7.98 297 9999.0 999.0  13.9 999.0 99.0 99.00
2010 01 01 10 13 999 99.0 99.0  1.64 11.76  8.10 286 9999.0 999.0  13.9 999.0 99.0 99.00
2010 01 01 10 43 999 99.0 99.0  1.61 11.11  8.53 287 9999.0 999.0  13.9 999.0 99.0 99.00
2010 01 01 11 13 999 99.0 99.0  1.60 11.76  8.16 293 9999.0 999.0  13.9 999.0 99.0 99.00
2010 01 01 11 43 999 99.0 99.0  1.78 12.50  8.79 294 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 01 12 13 999 99.0 99.0  1.72 12.50  8.57 286 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 01 12 43 999 99.0 99.0  1.58 11.11  8.28 298 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 01 13 13 999 99.0 99.0  1.63 11.76  8.37 291 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 01 13 43 999 99.0 99.0  1.58 12.50  8.38 284 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 01 14 13 999 99.0 99.0  1.62 11.11  8.86 296 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 01 14 43 999 99.0 99.0  1.55 12.50  8.43 286 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 01 15 13 999 99.0 99.0  1.55 11.76  8.57 293 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 01 15 43 999 99.0 99.0  1.58 13.33  8.60 279 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 01 16 13 999 99.0 99.0  1.68 12.50  8.06 298 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 01 16 43 999 99.0 99.0  1.66 13.33  7.61 289 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 01 17 13 999 99.0 99.0  1.73 11.76  7.37 291 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 01 17 43 999 99.0 99.0  1.61 12.50  6.92 297 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 01 18 13 999 99.0 99.0  1.58 12.50  7.05 279 9999.0 999.0  13.9 999.0 99.0 99.00
2010 01 01 18 43 999 99.0 99.0  1.56 12.50  6.57 276 9999.0 999.0  13.9 999.0 99.0 99.00
2010 01 01 19 13 999 99.0 99.0  1.69 11.76  6.92 283 9999.0 999.0  13.9 999.0 99.0 99.00
2010 01 01 19 43 999 99.0 99.0  1.60 11.76  6.69 282 9999.0 999.0  13.9 999.0 99.0 99.00
2010 01 01 20 13 999 99.0 99.0  1.62 11.76  6.69 283 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 01 20 43 999 99.0 99.0  1.61 12.50  6.47 290 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 01 21 13 999 99.0 99.0  1.69 11.76  6.75 277 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 01 21 43 999 99.0 99.0  1.57 12.50  6.63 269 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 01 22 13 999 99.0 99.0  1.54 13.33  6.54 279 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 01 22 43 999 99.0 99.0  1.53 11.11  6.40 282 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 01 23 13 999 99.0 99.0  1.64 11.76  6.57 286 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 01 23 43 999 99.0 99.0  1.69 11.76  6.55 282 9999.0 999.0  13.9 999.0 99.0 99.00
2010 01 02 00 13 999 99.0 99.0  1.70 12.50  6.02 290 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 02 00 43 999 99.0 99.0  1.64 12.50  6.05 275 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 02 01 13 999 99.0 99.0  1.79 11.76  6.21 284 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 02 01 43 999 99.0 99.0  1.85 11.76  6.39 284 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 02 02 13 999 99.0 99.0  1.87 12.50  6.39 294 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 02 02 43 999 99.0 99.0  1.89 11.76  6.15 290 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 02 03 13 999 99.0 99.0  2.07 11.11  6.93 287 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 02 03 43 999 99.0 99.0  1.93 12.50  6.30 284 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 02 04 13 999 99.0 99.0  2.08 12.50  6.59 284 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 02 04 43 999 99.0 99.0  2.12 12.50  6.40 290 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 02 05 13 999 99.0 99.0  2.19 11.11  6.74 294 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 02 05 43 999 99.0 99.0  2.22 11.76  7.33 282 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 02 06 13 999 99.0 99.0  2.16 11.11  7.23 297 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 02 06 43 999 99.0 99.0  2.37 12.50  7.83 287 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 02 07 13 999 99.0 99.0  2.42 11.76  7.58 290 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 02 07 43 999 99.0 99.0  2.38 11.11  7.04 291 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 02 08 13 999 99.0 99.0  2.52 11.76  7.17 293 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 02 08 43 999 99.0 99.0  2.52 12.50  7.58 290 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 02 09 13 999 99.0 99.0  2.70 11.11  7.98 291 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 02 09 43 999 99.0 99.0  2.41 12.50  7.60 289 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 02 10 13 999 99.0 99.0  2.60 10.53  8.22 298 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 02 10 43 999 99.0 99.0  2.42 11.76  8.35 297 9999.0 999.0  13.7 999.0 99.0 99.00
2010 01 02 11 13 999 99.0 99.0  2.46 11.76  8.33 283 9999.0 999.0  13.7 999.0 99.0 99.00
2010 01 02 11 43 999 99.0 99.0  2.63 11.76  9.21 294 9999.0 999.0  13.7 999.0 99.0 99.00
2010 01 02 12 13 999 99.0 99.0  2.57 12.50  9.01 283 9999.0 999.0  13.7 999.0 99.0 99.00
2010 01 02 12 43 999 99.0 99.0  2.39 11.76  8.52 290 9999.0 999.0  13.7 999.0 99.0 99.00
2010 01 02 13 13 999 99.0 99.0  2.79 16.67  9.26 300 9999.0 999.0  13.7 999.0 99.0 99.00
2010 01 02 13 43 999 99.0 99.0  2.86 16.67  9.50 300 9999.0 999.0  13.7 999.0 99.0 99.00
2010 01 02 14 13 999 99.0 99.0  3.07 16.67 10.19 304 9999.0 999.0  13.7 999.0 99.0 99.00
2010 01 02 14 43 999 99.0 99.0  2.77 16.67  9.11 306 9999.0 999.0  13.7 999.0 99.0 99.00
2010 01 02 15 13 999 99.0 99.0  3.18 16.67 10.02 296 9999.0 999.0  13.7 999.0 99.0 99.00
2010 01 02 15 43 999 99.0 99.0  3.52 16.67 11.00 303 9999.0 999.0  13.7 999.0 99.0 99.00
2010 01 02 16 13 999 99.0 99.0  4.11 16.67 11.50 301 9999.0 999.0  13.7 999.0 99.0 99.00
2010 01 02 16 43 999 99.0 99.0  3.75 16.67 10.90 298 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 02 17 13 999 99.0 99.0  3.74 16.67 10.38 298 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 02 17 43 999 99.0 99.0  3.92 16.67 11.07 301 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 02 18 13 999 99.0 99.0  4.20 16.67 11.45 300 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 02 18 43 999 99.0 99.0  4.40 15.38 11.27 301 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 02 19 13 999 99.0 99.0  4.27 15.38 11.24 294 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 02 19 43 999 99.0 99.0  3.81 14.29 10.50 297 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 02 20 13 999 99.0 99.0  4.75 15.38 11.85 293 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 02 20 43 999 99.0 99.0  3.70 14.29 10.33 298 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 02 21 13 999 99.0 99.0  4.23 15.38 11.15 294 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 02 21 43 999 99.0 99.0  3.74 13.33 10.57 301 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 02 22 13 999 99.0 99.0  3.99 15.38 10.93 296 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 02 22 43 999 99.0 99.0  3.59 15.38 10.61 296 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 02 23 13 999 99.0 99.0  3.59 15.38 10.66 293 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 02 23 43 999 99.0 99.0  3.62 15.38 10.76 297 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 03 00 13 999 99.0 99.0  3.57 14.29 10.71 296 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 03 00 43 999 99.0 99.0  3.11 15.38  9.79 290 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 03 01 13 999 99.0 99.0  3.08 13.33  9.42 294 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 03 01 43 999 99.0 99.0  3.70 13.33  9.97 301 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 03 02 13 999 99.0 99.0  3.23 13.33  9.49 296 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 03 02 43 999 99.0 99.0  3.60 14.29  9.96 296 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 03 03 13 999 99.0 99.0  3.26 14.29  9.44 296 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 03 03 43 999 99.0 99.0  2.84 14.29  9.45 300 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 03 04 13 999 99.0 99.0  3.12 14.29  9.92 297 9999.0 999.0  13.9 999.0 99.0 99.00
2010 01 03 04 43 999 99.0 99.0  3.30 13.33 10.27 293 9999.0 999.0  13.9 999.0 99.0 99.00
2010 01 03 05 13 999 99.0 99.0  3.09 14.29  9.82 293 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 03 05 43 999 99.0 99.0  3.27 13.33 10.08 296 9999.0 999.0  13.9 999.0 99.0 99.00
2010 01 03 06 13 999 99.0 99.0  3.13 14.29  9.96 289 9999.0 999.0  13.9 999.0 99.0 99.00
2010 01 03 06 43 999 99.0 99.0  3.09 14.29  9.97 300 9999.0 999.0  13.9 999.0 99.0 99.00
2010 01 03 07 13 999 99.0 99.0  2.99 11.76  9.60 287 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 03 07 43 999 99.0 99.0  3.04 14.29  9.69 303 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 03 08 13 999 99.0 99.0  3.06 14.29  9.91 289 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 03 08 43 999 99.0 99.0  3.00 13.33  9.88 300 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 03 09 13 999 99.0 99.0  2.98 14.29  9.87 291 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 03 09 43 999 99.0 99.0  2.81 14.29  9.86 294 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 03 10 13 999 99.0 99.0  2.88 13.33  9.88 294 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 03 10 43 999 99.0 99.0  2.95 13.33 10.09 297 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 03 11 13 999 99.0 99.0  3.29 13.33 10.49 304 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 03 11 43 999 99.0 99.0  3.28 13.33 10.49 301 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 03 12 13 999 99.0 99.0  3.05 13.33 10.05 296 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 03 13 13 999 99.0 99.0  2.79 13.33  9.69 296 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 03 13 43 999 99.0 99.0  3.08 13.33 10.36 306 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 03 14 13 999 99.0 99.0  3.13 12.50 10.43 304 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 03 14 43 999 99.0 99.0  2.92 13.33 10.14 303 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 03 15 13 999 99.0 99.0  2.73 13.33 10.01 303 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 03 15 43 999 99.0 99.0  2.38 12.50  9.63 293 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 03 16 13 999 99.0 99.0  2.60 13.33  9.98 303 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 03 16 43 999 99.0 99.0  2.45 13.33  9.79 291 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 03 17 13 999 99.0 99.0  2.47 12.50  9.89 297 9999.0 999.0  13.8 999.0 99.0 99.00
2010 01 03 17 43 999 99.0 99.0  2.54 12.50  9.79 298 9999.0 999.0  13.9 999.0 99.0 99.00
2010 01 03 18 13 999 99.0 99.0  2.69 12.50 10.20 286 9999.0 999.0  13.9 999.0 99.0 99.00
2010 01 03 18 43 999 99.0 99.0  2.61 12.50  9.92 298 9999.0 999.0  14.0 999.0 99.0 99.00
2010 01 03 20 13 999 99.0 99.0  2.33 12.50  9.72 293 9999.0 999.0  14.5 999.0 99.0 99.00
2010 01 03 21 13 999 99.0 99.0  2.45 12.50 10.41 296 9999.0 999.0  14.7 999.0 99.0 99.00
2010 01 03 21 43 999 99.0 99.0  2.17 12.50  9.54 282 9999.0 999.0  14.7 999.0 99.0 99.00
2010 01 03 22 13 999 99.0 99.0  2.02 11.76  9.79 301 9999.0 999.0  14.8 999.0 99.0 99.00
2010 01 03 22 43 999 99.0 99.0  2.42 12.50 10.10 291 9999.0 999.0  14.8 999.0 99.0 99.00
2010 01 03 23 13 999 99.0 99.0  2.09 11.76  9.77 291 9999.0 999.0  14.8 999.0 99.0 99.00
2010 01 03 23 43 999 99.0 99.0  1.93 12.50  9.74 294 9999.0 999.0  14.8 999.0 99.0 99.00
2010 01 04 00 13 999 99.0 99.0  1.72 12.50  9.21 290 9999.0 999.0  14.7 999.0 99.0 99.00
2010 01 04 00 43 999 99.0 99.0  1.83 12.50  9.16 300 9999.0 999.0  14.6 999.0 99.0 99.00
2010 01 04 01 13 999 99.0 99.0  1.71 13.33  8.85 266 9999.0 999.0  14.6 999.0 99.0 99.00
2010 01 04 01 43 999 99.0 99.0  1.74 11.76  9.28 290 9999.0 999.0  14.5 999.0 99.0 99.00
2010 01 04 02 13 999 99.0 99.0  1.88 11.76  9.32 293 9999.0 999.0  14.5 999.0 99.0 99.00
