#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 01 01 00 02 999 99.0 99.0  1.97 11.76  7.62 320 9999.0 999.0  12.6 999.0 99.0 99.00
2011 01 01 00 32 999 99.0 99.0  1.85 11.11  7.37 320 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 01 01 02 999 99.0 99.0  2.01  9.88  7.69 318 9999.0 999.0  12.6 999.0 99.0 99.00
2011 01 01 01 32 999 99.0 99.0  1.75 11.11  7.47 321 9999.0 999.0  12.6 999.0 99.0 99.00
2011 01 01 02 02 999 99.0 99.0  1.84 11.76  7.77 321 9999.0 999.0  12.6 999.0 99.0 99.00
2011 01 01 02 32 999 99.0 99.0  1.68 10.53  7.26 321 9999.0 999.0  12.6 999.0 99.0 99.00
2011 01 01 03 02 999 99.0 99.0  1.61 11.76  7.32 327 9999.0 999.0  12.6 999.0 99.0 99.00
2011 01 01 03 32 999 99.0 99.0  1.69 11.76  7.72 318 9999.0 999.0  12.6 999.0 99.0 99.00
2011 01 01 04 02 999 99.0 99.0  1.70 11.11  7.81 321 9999.0 999.0  12.6 999.0 99.0 99.00
2011 01 01 04 32 999 99.0 99.0  1.85 10.53  7.90 313 9999.0 999.0  12.6 999.0 99.0 99.00
2011 01 01 05 02 999 99.0 99.0  1.88 11.11  8.15 322 9999.0 999.0  12.6 999.0 99.0 99.00
2011 01 01 05 32 999 99.0 99.0  1.74 10.53  7.95 311 9999.0 999.0  12.6 999.0 99.0 99.00
2011 01 01 06 02 999 99.0 99.0  1.96 11.11  8.29 321 9999.0 999.0  12.6 999.0 99.0 99.00
2011 01 01 06 32 999 99.0 99.0  1.68 11.11  7.90 320 9999.0 999.0  12.6 999.0 99.0 99.00
2011 01 01 07 02 999 99.0 99.0  1.82 10.53  8.44 313 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 01 07 32 999 99.0 99.0  1.97 11.11  8.85 321 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 01 08 02 999 99.0 99.0  1.68 10.53  7.98 321 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 01 08 32 999 99.0 99.0  1.80 10.53  8.56 315 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 01 09 02 999 99.0 99.0  1.84 11.11  8.47 317 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 01 09 32 999 99.0 99.0  1.79 11.76  8.54 320 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 01 10 02 999 99.0 99.0  1.72 12.50  7.76 311 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 01 10 32 999 99.0 99.0  1.61 11.76  7.10 314 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 01 11 02 999 99.0 99.0  1.65 11.76  6.90 315 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 01 11 32 999 99.0 99.0  1.67 12.50  6.78 311 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 01 12 02 999 99.0 99.0  1.71 11.11  6.87 320 9999.0 999.0  12.5 999.0 99.0 99.00
